"","recRank","college","recCommits","year","conference"
"314",14,"Notre Dame",25,"2019","Independent"
"315",15,"Washington",23,"2019","Pac-12"
"316",16,"Ohio State",28,"2019","Big Ten"
"317",17,"South Carolina",24,"2019","SEC"
"318",18,"Nebraska",23,"2019","Big Ten"
"319",19,"USC",22,"2019","Pac-12"
"320",20,"Stanford",21,"2019","Pac-12"
"321",21,"Ole Miss",31,"2019","SEC"
"322",22,"Florida State",24,"2019","ACC"
"323",23,"Arkansas",22,"2019","SEC"
"324",24,"Mississippi State",19,"2019","SEC"
"325",25,"Purdue",24,"2019","Big Ten"
"326",26,"Arizona State",23,"2019","Pac-12"
"327",27,"Virginia Tech",22,"2019","ACC"
"328",28,"Michigan State",24,"2019","Big Ten"
"329",29,"Wisconsin",20,"2019","Big Ten"
"330",30,"Miami",25,"2019","ACC"
"331",31,"NC State",20,"2019","ACC"
"332",32,"TCU",20,"2019","Big 12"
"333",33,"Missouri",22,"2019","SEC"
"334",34,"Baylor",22,"2019","Big 12"
"335",35,"North Carolina",20,"2019","ACC"
"336",36,"Kentucky",23,"2019","SEC"
"337",37,"Iowa",21,"2019","Big Ten"
"338",38,"Indiana",21,"2019","Big Ten"
"339",39,"Minnesota",25,"2019","Big Ten"
"340",40,"Virginia",14,"2019","ACC"
"341",41,"Oklahoma State",27,"2019","Big 12"
"342",42,"Duke",24,"2019","ACC"
"343",43,"Northwestern",23,"2019","Big Ten"
"344",44,"Maryland",18,"2019","Big Ten"
"345",45,"West Virginia",17,"2019","Big 12"
"346",46,"California",23,"2019","Pac-12"
"347",47,"Iowa State",18,"2019","Big 12"
"348",48,"Colorado",15,"2019","Pac-12"
"349",49,"Pittsburgh",17,"2019","ACC"
"350",50,"UCF",25,"2019","American"
"351",51,"Boise State",26,"2019","Mountain West"
"352",52,"Illinois",25,"2019","Big Ten"
"353",53,"UCLA",24,"2019","Pac-12"
"354",54,"Wake Forest",25,"2019","ACC"
"355",55,"Kansas State",25,"2019","Big 12"
"356",56,"Boston College",21,"2019","ACC"
"357",57,"Arizona",21,"2019","Pac-12"
"358",58,"Syracuse",24,"2019","ACC"
"359",59,"Utah",24,"2019","Pac-12"
"360",60,"Washington State",20,"2019","Pac-12"
"361",61,"Georgia Tech",24,"2019","ACC"
"362",62,"Vanderbilt",24,"2019","SEC"
"363",63,"Texas Tech",26,"2019","Big 12"
"364",64,"Oregon State",25,"2019","Pac-12"
"365",65,"SMU",26,"2019","American"
"366",66,"Rutgers",22,"2019","Big Ten"
"367",67,"Kansas",19,"2019","Big 12"
"368",68,"Louisville",23,"2019","ACC"
"369",69,"Florida Atlantic",21,"2019","C-USA"
"370",70,"Memphis",25,"2019","American"
"371",71,"BYU",27,"2019","Independent"
"372",72,"South Florida",21,"2019","American"
"373",73,"Toledo",22,"2019","MAC"
"374",74,"Louisiana",30,"2019","Sun Belt"
"375",75,"North Texas",21,"2019","C-USA"
